cve_id,commit_hash,cvss_score,epss_score,cwe_id,composite_score,fixed_gate_blocked,risk_gate_blocked
CVE-2016-0721,acdbbe8307e6f4a36b2c7754765e732e43fe8d17,8.1,0.02294,CWE-384,0.0138,True,False
CVE-2016-0721,bc6ad9086857559db57f4e3e6de66762291c0774,8.1,0.02294,CWE-384,0.0138,True,False
CVE-2016-0721,e9b28833d54a47ec441f6dbad0db96e1fc662a5b,8.1,0.02294,CWE-384,0.0138,True,False
CVE-2016-0775,893a40850c2d5da41537958e40569c029a6e127b,6.5,0.02689,CWE-119,0.0161,False,False
CVE-2016-1000003,2e227f6023477cbdbefd577f15d0846aa40c8775,9.8,0.03378,CWE-94,0.0203,True,False
CVE-2016-1000003,eb9b542bc818071b9eee41c3583b7e6e172b3a53,9.8,0.03378,CWE-94,0.0203,True,False
CVE-2016-10127,6e09a25d9b4b7aa7a506853210a9a14100b8bc9b,9.0,0.02133,CWE-611,0.0128,True,False
CVE-2016-10149,6e09a25d9b4b7aa7a506853210a9a14100b8bc9b,7.5,0.0386,CWE-611,0.0232,True,False
CVE-2016-10187,3a89718664cb8cce0449d1758eee585ed0d0433c,5.5,0.02793,CWE-264,0.0168,False,False
CVE-2016-10321,944d8bd8f3c5cf8ae296fc03d149056c65358426,9.8,0.02587,CWE-254,0.0155,True,False
CVE-2016-10745,9b53045c34e61013dc8f09b7e52a555fa16bed16,8.6,0.03492,CWE-134,0.021,True,False
CVE-2016-10766,d54f79f5bf3e1af17063937df1abc0026843412d,8.8,0.00604,CWE-352,0.0036,True,False
CVE-2016-1505,b4b3d51f33c7623d312f289252dd7bbb8f58bbe6,10.0,0.02592,CWE-21,0.0156,True,False
CVE-2016-2512,c5544d289233f501917e25970c03ed444abbd4f0,7.4,0.04035,CWE-79,0.4242,True,True
CVE-2016-2513,67b46ba7016da2d259c1ecc7d666d11f5e1cfaab,3.1,0.03317,CWE-200,0.0199,False,False
